	sequences per sample	iteration	DTM100	DTM113	DTM15	DTM34	DTM42	DTM44	DTM45	DTM47	DTM55	DTM56	DTM69	DTM72	DTM73	DTM74	DTM96	DTM98	DTM99
alpha_rarefaction_19_7.biom	19	7	5.0	6.0	7.0	4.0	6.0	6.0	6.0	9.0	5.0	7.0	6.0	3.0	2.0	6.0	2.0	5.0	8.0
alpha_rarefaction_19_8.biom	19	8	4.0	7.0	7.0	3.0	8.0	4.0	4.0	7.0	5.0	7.0	6.0	3.0	2.0	4.0	4.0	4.0	5.0
alpha_rarefaction_19_9.biom	19	9	7.0	7.0	9.0	4.0	6.0	4.0	3.0	8.0	3.0	4.0	6.0	2.0	2.0	4.0	3.0	5.0	6.0
alpha_rarefaction_28_0.biom	28	0	4.0	8.0	7.0	4.0	7.0	5.0	6.0	8.0	5.0	5.0	7.0	3.0	1.0	5.0	3.0	4.0	6.0
alpha_rarefaction_28_1.biom	28	1	3.0	6.0	8.0	4.0	9.0	5.0	8.0	8.0	4.0	6.0	8.0	2.0	2.0	7.0	4.0	4.0	6.0
alpha_rarefaction_28_2.biom	28	2	5.0	6.0	8.0	5.0	8.0	6.0	8.0	9.0	6.0	7.0	7.0	3.0	2.0	6.0	4.0	5.0	6.0
alpha_rarefaction_28_3.biom	28	3	6.0	7.0	9.0	6.0	7.0	3.0	6.0	9.0	5.0	5.0	7.0	3.0	2.0	5.0	3.0	6.0	4.0
alpha_rarefaction_28_4.biom	28	4	8.0	7.0	10.0	5.0	7.0	4.0	6.0	9.0	7.0	6.0	6.0	4.0	2.0	5.0	4.0	4.0	6.0
alpha_rarefaction_28_5.biom	28	5	6.0	6.0	9.0	4.0	8.0	5.0	6.0	6.0	4.0	5.0	5.0	3.0	2.0	5.0	4.0	5.0	4.0
alpha_rarefaction_28_6.biom	28	6	4.0	7.0	7.0	5.0	7.0	6.0	6.0	9.0	3.0	6.0	4.0	3.0	1.0	6.0	3.0	5.0	6.0
alpha_rarefaction_28_7.biom	28	7	4.0	5.0	9.0	5.0	8.0	5.0	7.0	8.0	5.0	7.0	6.0	4.0	2.0	7.0	4.0	4.0	6.0
alpha_rarefaction_28_8.biom	28	8	4.0	7.0	8.0	4.0	7.0	5.0	7.0	8.0	5.0	6.0	6.0	3.0	1.0	5.0	4.0	5.0	5.0
alpha_rarefaction_28_9.biom	28	9	4.0	8.0	9.0	6.0	6.0	6.0	5.0	8.0	4.0	5.0	8.0	3.0	2.0	5.0	2.0	5.0	4.0
alpha_rarefaction_37_0.biom	37	0	8.0	11.0	11.0	5.0	9.0	5.0	7.0	8.0	5.0	7.0	8.0	4.0	2.0	6.0	5.0	4.0	8.0
alpha_rarefaction_37_1.biom	37	1	4.0	7.0	11.0	5.0	8.0	5.0	7.0	11.0	5.0	7.0	7.0	4.0	2.0	7.0	4.0	5.0	8.0
alpha_rarefaction_37_2.biom	37	2	7.0	9.0	12.0	6.0	8.0	6.0	5.0	10.0	5.0	7.0	7.0	4.0	2.0	5.0	3.0	4.0	6.0
alpha_rarefaction_37_3.biom	37	3	8.0	6.0	11.0	6.0	7.0	6.0	8.0	9.0	5.0	6.0	8.0	3.0	2.0	6.0	2.0	6.0	6.0
alpha_rarefaction_37_4.biom	37	4	7.0	6.0	9.0	5.0	8.0	5.0	4.0	9.0	5.0	7.0	7.0	3.0	2.0	6.0	5.0	6.0	5.0
alpha_rarefaction_37_5.biom	37	5	8.0	8.0	9.0	6.0	9.0	5.0	7.0	8.0	5.0	8.0	8.0	4.0	2.0	7.0	2.0	6.0	7.0
alpha_rarefaction_37_6.biom	37	6	8.0	8.0	12.0	4.0	8.0	5.0	6.0	9.0	3.0	7.0	7.0	3.0	2.0	6.0	4.0	4.0	4.0
alpha_rarefaction_37_7.biom	37	7	6.0	10.0	9.0	4.0	8.0	4.0	7.0	8.0	5.0	6.0	6.0	4.0	1.0	5.0	2.0	5.0	7.0
alpha_rarefaction_37_8.biom	37	8	5.0	9.0	10.0	5.0	9.0	5.0	7.0	8.0	5.0	6.0	9.0	3.0	1.0	5.0	5.0	5.0	7.0
alpha_rarefaction_37_9.biom	37	9	7.0	6.0	9.0	4.0	8.0	5.0	6.0	8.0	5.0	6.0	8.0	4.0	1.0	6.0	3.0	4.0	5.0
alpha_rarefaction_46_0.biom	46	0	6.0	7.0	12.0	7.0	6.0	6.0	8.0	10.0	5.0	7.0	9.0	4.0	2.0	7.0	3.0	5.0	7.0
alpha_rarefaction_46_1.biom	46	1	7.0	8.0	9.0	4.0	11.0	5.0	8.0	9.0	6.0	8.0	8.0	4.0	2.0	6.0	3.0	4.0	6.0
alpha_rarefaction_46_2.biom	46	2	6.0	9.0	9.0	5.0	9.0	6.0	8.0	11.0	4.0	7.0	8.0	3.0	2.0	6.0	4.0	3.0	6.0
alpha_rarefaction_46_3.biom	46	3	7.0	10.0	11.0	6.0	8.0	5.0	7.0	9.0	6.0	7.0	9.0	4.0	2.0	7.0	3.0	5.0	6.0
alpha_rarefaction_46_4.biom	46	4	6.0	8.0	11.0	6.0	9.0	5.0	8.0	11.0	6.0	7.0	6.0	4.0	2.0	6.0	3.0	4.0	7.0
alpha_rarefaction_46_5.biom	46	5	6.0	10.0	10.0	5.0	9.0	5.0	8.0	11.0	5.0	7.0	7.0	3.0	2.0	7.0	2.0	6.0	6.0
alpha_rarefaction_46_6.biom	46	6	7.0	9.0	11.0	7.0	9.0	4.0	8.0	10.0	4.0	7.0	7.0	4.0	2.0	7.0	4.0	6.0	6.0
alpha_rarefaction_46_7.biom	46	7	7.0	6.0	11.0	6.0	7.0	5.0	7.0	8.0	4.0	7.0	8.0	4.0	2.0	6.0	4.0	6.0	6.0
alpha_rarefaction_46_8.biom	46	8	7.0	7.0	11.0	4.0	10.0	5.0	7.0	10.0	6.0	6.0	8.0	4.0	2.0	6.0	3.0	4.0	6.0
alpha_rarefaction_46_9.biom	46	9	6.0	9.0	12.0	5.0	8.0	5.0	8.0	9.0	6.0	7.0	7.0	4.0	1.0	6.0	5.0	7.0	7.0
alpha_rarefaction_55_0.biom	55	0	8.0	8.0	11.0	5.0	6.0	6.0	8.0	10.0	5.0	7.0	8.0	4.0	2.0	7.0	4.0	6.0	7.0
alpha_rarefaction_55_1.biom	55	1	7.0	9.0	10.0	6.0	9.0	6.0	8.0	9.0	5.0	7.0	9.0	4.0	2.0	6.0	4.0	5.0	8.0
alpha_rarefaction_55_2.biom	55	2	8.0	8.0	10.0	7.0	9.0	6.0	7.0	10.0	6.0	7.0	8.0	4.0	2.0	5.0	5.0	5.0	7.0
alpha_rarefaction_55_3.biom	55	3	7.0	8.0	12.0	6.0	8.0	6.0	9.0	9.0	6.0	6.0	8.0	4.0	2.0	7.0	5.0	5.0	7.0
alpha_rarefaction_55_4.biom	55	4	8.0	9.0	11.0	6.0	9.0	6.0	7.0	12.0	6.0	7.0	9.0	3.0	2.0	6.0	4.0	6.0	7.0
alpha_rarefaction_55_5.biom	55	5	9.0	9.0	12.0	6.0	10.0	5.0	8.0	11.0	5.0	8.0	8.0	3.0	2.0	6.0	4.0	5.0	6.0
alpha_rarefaction_55_6.biom	55	6	8.0	7.0	11.0	6.0	10.0	5.0	8.0	10.0	5.0	8.0	8.0	4.0	2.0	7.0	2.0	5.0	8.0
alpha_rarefaction_55_7.biom	55	7	7.0	8.0	13.0	7.0	9.0	6.0	9.0	11.0	5.0	8.0	9.0	4.0	2.0	7.0	4.0	7.0	7.0
alpha_rarefaction_55_8.biom	55	8	6.0	9.0	11.0	7.0	9.0	6.0	8.0	10.0	6.0	8.0	8.0	4.0	2.0	7.0	4.0	7.0	8.0
alpha_rarefaction_55_9.biom	55	9	6.0	9.0	11.0	6.0	6.0	6.0	8.0	11.0	6.0	6.0	8.0	4.0	2.0	6.0	3.0	5.0	7.0
alpha_rarefaction_64_0.biom	64	0	7.0	10.0	12.0	5.0	9.0	5.0	9.0	12.0	5.0	8.0	9.0	4.0	2.0	6.0	5.0	5.0	8.0
alpha_rarefaction_64_1.biom	64	1	8.0	9.0	13.0	5.0	9.0	6.0	8.0	12.0	7.0	8.0	9.0	4.0	2.0	6.0	3.0	6.0	7.0
alpha_rarefaction_64_2.biom	64	2	7.0	9.0	12.0	4.0	11.0	6.0	8.0	11.0	6.0	8.0	7.0	3.0	2.0	5.0	4.0	6.0	8.0
alpha_rarefaction_64_3.biom	64	3	6.0	10.0	11.0	5.0	10.0	5.0	9.0	12.0	6.0	8.0	8.0	4.0	2.0	7.0	4.0	5.0	7.0
alpha_rarefaction_64_4.biom	64	4	7.0	10.0	11.0	6.0	9.0	6.0	8.0	10.0	7.0	8.0	8.0	4.0	2.0	5.0	5.0	5.0	8.0
alpha_rarefaction_64_5.biom	64	5	8.0	10.0	13.0	6.0	10.0	5.0	9.0	10.0	6.0	8.0	9.0	4.0	2.0	6.0	4.0	5.0	7.0
alpha_rarefaction_64_6.biom	64	6	8.0	9.0	12.0	6.0	11.0	5.0	7.0	11.0	6.0	7.0	9.0	4.0	2.0	5.0	5.0	7.0	7.0
alpha_rarefaction_64_7.biom	64	7	7.0	9.0	12.0	6.0	10.0	6.0	8.0	11.0	7.0	7.0	9.0	4.0	2.0	7.0	4.0	5.0	8.0
alpha_rarefaction_64_8.biom	64	8	8.0	10.0	13.0	7.0	11.0	5.0	8.0	9.0	7.0	8.0	7.0	4.0	2.0	7.0	2.0	6.0	8.0
alpha_rarefaction_64_9.biom	64	9	8.0	11.0	13.0	6.0	9.0	6.0	8.0	11.0	4.0	7.0	8.0	4.0	2.0	7.0	4.0	6.0	8.0
alpha_rarefaction_73_0.biom	73	0	9.0	10.0	12.0	7.0	11.0	5.0	9.0	12.0	6.0	8.0	9.0	4.0	2.0	7.0	4.0	6.0	8.0
alpha_rarefaction_73_1.biom	73	1	9.0	9.0	11.0	7.0	10.0	6.0	8.0	11.0	7.0	7.0	9.0	4.0	2.0	7.0	4.0	7.0	6.0
alpha_rarefaction_73_2.biom	73	2	9.0	11.0	11.0	6.0	9.0	6.0	8.0	11.0	6.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_73_3.biom	73	3	9.0	10.0	11.0	7.0	11.0	6.0	8.0	12.0	7.0	8.0	8.0	4.0	2.0	6.0	5.0	7.0	8.0
alpha_rarefaction_73_4.biom	73	4	8.0	10.0	13.0	6.0	11.0	5.0	7.0	11.0	6.0	8.0	8.0	4.0	2.0	7.0	5.0	6.0	8.0
alpha_rarefaction_73_5.biom	73	5	8.0	9.0	12.0	5.0	11.0	6.0	8.0	11.0	6.0	8.0	9.0	4.0	2.0	7.0	4.0	7.0	7.0
alpha_rarefaction_73_6.biom	73	6	8.0	9.0	12.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	8.0	4.0	2.0	5.0	5.0	7.0	8.0
alpha_rarefaction_73_7.biom	73	7	8.0	11.0	13.0	6.0	9.0	6.0	9.0	12.0	6.0	8.0	9.0	4.0	2.0	7.0	4.0	7.0	7.0
alpha_rarefaction_73_8.biom	73	8	8.0	11.0	13.0	7.0	9.0	5.0	9.0	11.0	6.0	8.0	9.0	3.0	2.0	7.0	4.0	6.0	8.0
alpha_rarefaction_73_9.biom	73	9	7.0	9.0	11.0	6.0	10.0	5.0	9.0	11.0	6.0	7.0	9.0	4.0	2.0	6.0	5.0	6.0	7.0
alpha_rarefaction_82_0.biom	82	0	8.0	11.0	13.0	7.0	11.0	6.0	8.0	12.0	6.0	8.0	9.0	4.0	2.0	7.0	5.0	6.0	8.0
alpha_rarefaction_82_1.biom	82	1	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	4.0	6.0	8.0
alpha_rarefaction_82_2.biom	82	2	9.0	10.0	12.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	6.0	4.0	7.0	8.0
alpha_rarefaction_82_3.biom	82	3	8.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	6.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_82_4.biom	82	4	9.0	10.0	13.0	6.0	11.0	6.0	9.0	11.0	6.0	7.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_82_5.biom	82	5	9.0	11.0	13.0	6.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_82_6.biom	82	6	9.0	10.0	13.0	7.0	11.0	6.0	9.0	11.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_82_7.biom	82	7	9.0	10.0	13.0	7.0	11.0	6.0	9.0	12.0	6.0	7.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_82_8.biom	82	8	9.0	11.0	13.0	7.0	11.0	6.0	9.0	11.0	6.0	8.0	9.0	4.0	2.0	6.0	5.0	6.0	8.0
alpha_rarefaction_82_9.biom	82	9	9.0	11.0	13.0	5.0	10.0	6.0	9.0	12.0	7.0	8.0	9.0	3.0	2.0	7.0	4.0	7.0	8.0
alpha_rarefaction_91_0.biom	91	0	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_1.biom	91	1	9.0	11.0	13.0	7.0	11.0	5.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	6.0	5.0	7.0	8.0
alpha_rarefaction_91_2.biom	91	2	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_3.biom	91	3	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	7.0
alpha_rarefaction_91_4.biom	91	4	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_5.biom	91	5	8.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_6.biom	91	6	8.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	7.0
alpha_rarefaction_91_7.biom	91	7	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_8.biom	91	8	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_91_9.biom	91	9	9.0	11.0	13.0	7.0	11.0	6.0	9.0	12.0	7.0	8.0	9.0	4.0	2.0	7.0	5.0	7.0	8.0
alpha_rarefaction_100_0.biom	100	0	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_1.biom	100	1	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_2.biom	100	2	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_3.biom	100	3	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_4.biom	100	4	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_5.biom	100	5	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_6.biom	100	6	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_7.biom	100	7	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_8.biom	100	8	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_9.biom	100	9	9.0	11.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	8.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
